meeting_id,meeting_date,announcement_timestamp,scheduled,emergency,target_before,target_after,target_after_asof,raw_change_bps,surprise_bps,surprise_orth_bps,surprise_source,date_validated_official,official_source,official_release_title,hf_tnote02_bps,hf_tnote10_bps,hf_tbond_bps
FOMC19930204,1993-02-04,1993-02-04 11:30:00,True,False,3.0,3.0,1993-02-09,0.0,0.7344605895148132,0.2898561471646487,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.31081209685946914,0.3936699217397327,0.0
FOMC19930324,1993-03-24,1993-03-24 11:30:00,True,False,3.0,3.0,1993-03-29,0.0,0.8976631070062496,-1.727818081502881,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.46443222668640305,1.1576403656549479,0.7851172822863305
FOMC19930519,1993-05-19,1993-05-19 11:30:00,True,False,3.0,3.0,1993-05-24,0.0,-0.9384220199253249,-1.3431139775648389,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-0.541417772374055,-1.931281909755761,-1.723865106624594
FOMC19930708,1993-07-08,1993-07-08 11:30:00,True,False,3.0,3.0,1993-07-13,0.0,-0.5688719761247003,-0.9671062546218714,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-1.0071896806935927,-0.948739114284535,-0.12626304341840808
FOMC19930818,1993-08-18,1993-08-18 11:30:00,True,False,3.0,3.0,1993-08-23,0.0,1.55372359237422,-0.2478578419912879,BauerSwanson2023_MPS_FRBSF,False,unmatched,,1.2365068456943489,0.9414497374859122,0.6113255996066362
FOMC19930922,1993-09-22,1993-09-22 11:30:00,True,False,3.0,3.0,1993-09-27,0.0,0.2840635517640884,0.7436766502670022,BauerSwanson2023_MPS_FRBSF,False,unmatched,,1.0830513850708394,1.3073755867255907,0.4813610592859602
FOMC19931117,1993-11-17,1993-11-17 11:30:00,True,False,3.0,3.0,1993-11-22,0.0,0.9130293369522493,-0.46681440195099555,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.0,-1.3106556025718525,-0.8435762311466471
FOMC19931222,1993-12-22,1993-12-22 11:30:00,True,False,3.0,3.0,1993-12-27,0.0,0.590267676270758,-0.5911892620033679,BauerSwanson2023_MPS_FRBSF,False,unmatched,,0.0,0.0,0.12424405505741987
FOMC19940204,1994-02-04,1994-02-04 11:05:00,True,False,3.0,3.25,1994-02-09,25.0,16.03311701638023,15.117934589927682,BauerSwanson2023_MPS_FRBSF,False,unmatched,,15.176881180265452,9.127432603781905,3.3348891268337773
FOMC19940322,1994-03-22,1994-03-22 14:20:00,True,False,3.25,3.5,1994-03-27,25.0,-4.566765928417222,-6.8000437553223385,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-5.781985508012905,-5.817281003663816,-5.2335933485917145
FOMC19940418,1994-04-18,1994-04-18 10:06:00,False,True,3.5,3.75,1994-04-23,25.0,9.964906385397734,7.288012122397556,BauerSwanson2023_MPS_FRBSF,False,unmatched,,6.383890770533446,5.200353069745285,3.584315151747174
FOMC19940517,1994-05-17,1994-05-17 14:26:00,True,False,3.75,4.25,1994-05-22,50.0,-4.738535258984095,-7.331937169710797,BauerSwanson2023_MPS_FRBSF,False,unmatched,,-6.410351397121083,-7.084446184609791,-7.117392750249419
